  9.6   7.5  13.0   7.1  13.2  1
  9.7  11.5  17.4  12.3  16.1  0
 11.0  14.0  13.1  13.5  11.2  0
  9.0   9.5  10.8   6.0  11.6  0
  8.8  10.0  14.0   5.5  13.9  0
  7.2  11.0  11.1  12.3  14.7  0
  6.5  12.5  11.3   8.5  13.9  0
 15.7  15.5  15.4  12.2  13.5  0
 14.2  11.3  13.5  10.7  11.3  0
 12.4  12.0  12.4  12.8  12.3  0
  3.1   1.3   7.0   4.7  11.2  0
 11.7  19.0  13.8  13.7  13.0  0
 11.3   9.5  17.0  11.8  11.7  0
  8.2   8.0  12.5   9.8  16.3  1
 13.3  13.5  20.0  13.4  16.8  0
 11.9  17.5  16.4  10.3  19.0  0
 13.8  16.5  20.0  18.3  15.8  1
  5.6  10.0   9.8   4.6  13.8  1
 11.4  18.5  15.3  17.5  14.1  0
 14.2  18.5  16.6  14.4  14.8  1
 14.7  15.0  20.0  14.2  13.1  0
 12.4  14.0  13.5   9.3  13.5  0
  7.8   7.0   9.4   7.6  15.3  0
 15.8  12.5  16.8  15.5  15.2  0
  7.8   4.0   9.8   3.5  15.5  1
 11.4  16.0  14.5  10.5  18.9  0
 10.1   7.0  10.5   6.7  13.6  0
  7.6   9.3  13.8   6.7  12.5  0
  7.5  13.0  17.0  10.9  16.0  1
  9.7  15.5  12.4  13.1  16.7  1
 20.0  18.5  20.0  18.8  12.7  0
 10.8  14.0  15.3  14.0  14.0  0
 10.4  14.5  12.8  11.5  11.9  1
 15.8  17.5  16.1  15.2  11.4  0
  4.9   9.0  10.5   7.1  16.0  0
 14.4  18.0  15.8  12.7  15.4  0
  9.8   6.0  10.9   6.8  14.3  1
 11.9  12.8  16.4  12.4  14.4  0
 13.5  14.5  17.3   9.8  14.8  1
 11.6  16.5  12.4  11.1  11.8  0
  7.0  12.5  13.0  12.3  13.6  0
 11.1  12.5   9.4  10.7  12.6  0
 10.3   8.0  17.0   7.9  16.1  0
  8.3   9.0  13.0   9.6  14.3  0
 16.3  15.0  14.9  10.3  13.4  0
 12.8  13.8  14.6  13.7  15.8  1
 11.1  10.5  12.5   6.3  11.4  0
 10.0  11.0  17.0  10.7  15.2  1
 14.3  13.5  16.5   8.9  16.3  1
 14.0  14.0  20.0  11.7  12.8  0
 12.1  10.8  14.1   8.0  10.1  0
  9.4  15.5  12.5  12.4  13.5  1
 18.5  16.5  19.5  16.2  11.0  0
 12.1  13.0  14.4  11.2  12.6  0
 12.3  15.5  19.0  16.3  14.4  1
  3.3   4.0   4.8   2.2  11.0  0
 12.5  10.8  11.9  12.0  18.3  0
 16.6  17.0  14.9  13.7  14.9  1
 11.5  12.0   7.8  12.3  13.7  0
  7.0  11.5  13.3  10.7  15.3  0
  7.3  15.5  13.8  10.3  10.7  0
 11.7  13.0  15.8  11.7  11.7  0
 18.9  19.0  20.0  17.3  13.6  0
 16.8  16.0  18.5  15.7  12.6  0
 13.8  17.0  11.1  15.0  14.3  0
 12.5  16.0  13.0  11.6  12.6  0
 11.9  16.0  16.5  12.2  13.1  1
  9.2  14.0  12.8   9.4  16.1  1
  7.1  11.0  10.0   7.2  12.7  0
 13.5  16.0  14.0  16.0  13.4  0
  9.7   7.0   9.0  10.2  15.4  0
 14.7  13.8  16.5  13.8  15.5  0
 17.5  19.0  15.4  14.7  11.9  0
 14.7  16.5  18.9  15.3  15.3  0
 14.2  15.5   9.5  11.0  16.3  0
 13.6  15.0  13.8  13.4  14.0  0
 10.4  13.5  15.0   9.1  13.4  0
  7.5  10.5   9.8  10.0  14.3  0
 10.3  10.8  14.8   9.8  16.0  1
 13.6  15.3  15.8   9.0  13.4  0
  7.9  11.0  11.0   9.8  13.1  0
 11.9  14.5  11.9  14.3  15.3  0
 14.4  12.3  14.8  14.7  14.2  0
 10.0  15.5  19.3  11.7  15.3  0
 11.3  14.5  12.6  12.5  11.0  0
  8.6   9.5   9.5   8.7  11.4  0
 20.0  18.5  18.3  17.3  13.0  0
 17.2  17.5  17.3  13.0  14.8  0
 11.4  13.0  15.1  15.0  16.8  0
  7.8   5.8  15.5  11.4  12.1  0
  9.0   9.5  11.0  10.0  16.2  0
